author,filename,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,shall,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
dispt,dispt_fed_49.txt,0.28,0.052,0.009,0.096,0.358,0.026,0.131,0.122,0.017,0.411,0.026,0.009,0.14,0.035,0.026,0,0.009,0.044,0.096,0.044,0.035,0.017,0.044,0,0.017,0,0.262,0.009,0.157,0.175,0.07,0.035,0.026,0.026,0,0.035,0.114,0,0.9,0.14,0.026,0.035,0.096,0.017,0.017,0.017,0.035,0.009,0.026,0.009,0.184,1.425,0.114,0,0.009,0.009,0.044,0.507,0,0,0.009,0.017,0,0.009,0.175,0.044,0.009,0.087,0.192,0
dispt,dispt_fed_50.txt,0.177,0.063,0.013,0.038,0.393,0.063,0.051,0.139,0.114,0.393,0.165,0,0.139,0,0.013,0,0.025,0,0.076,0.101,0.101,0.013,0.152,0,0,0.025,0.291,0.025,0.038,0.127,0.038,0.038,0,0.013,0,0,0.127,0,0.747,0.139,0.025,0,0.114,0,0,0.013,0.013,0.063,0,0,0.152,1.254,0.165,0,0,0,0.051,0.355,0,0.013,0.051,0,0,0,0.114,0.038,0.089,0.063,0.139,0
dispt,dispt_fed_51.txt,0.339,0.09,0.008,0.03,0.301,0.008,0.068,0.203,0.023,0.474,0.015,0.038,0.173,0.023,0,0.008,0.015,0.023,0.098,0.053,0.008,0.015,0.023,0,0,0.023,0.308,0.038,0.15,0.173,0.03,0.12,0.038,0.083,0,0.03,0.068,0,0.858,0.15,0.03,0.023,0.06,0,0.008,0.068,0.038,0.03,0.045,0.023,0.188,1.49,0.053,0.015,0.015,0,0.075,0.361,0,0,0.008,0.015,0.008,0,0.105,0.008,0.173,0.045,0.068,0
dispt,dispt_fed_52.txt,0.27,0.024,0.016,0.024,0.262,0.056,0.064,0.111,0.056,0.365,0.127,0.032,0.167,0.056,0,0,0.024,0.04,0.103,0.079,0.016,0.024,0.143,0,0.024,0.04,0.238,0.008,0.151,0.222,0.048,0.056,0.056,0.071,0,0.032,0.087,0,0.802,0.143,0.032,0.048,0.064,0.016,0.016,0.032,0.04,0.024,0.008,0,0.238,1.326,0.071,0.008,0,0,0.103,0.532,0,0,0.087,0.079,0.008,0.024,0.167,0,0.079,0.079,0.064,0
dispt,dispt_fed_53.txt,0.303,0.054,0.027,0.034,0.404,0.04,0.128,0.148,0.013,0.344,0.047,0.061,0.209,0.088,0,0,0.02,0.027,0.141,0.074,0,0.054,0.047,0,0.02,0.034,0.263,0.013,0.189,0.108,0.013,0.047,0.067,0.013,0,0.047,0.128,0,0.869,0.054,0.047,0.027,0.081,0.027,0,0,0.027,0.067,0.027,0.047,0.162,1.193,0.027,0.007,0.007,0,0.094,0.485,0,0,0.027,0.02,0.02,0.007,0.155,0.027,0.168,0.074,0.04,0
dispt,dispt_fed_54.txt,0.245,0.059,0.007,0.067,0.282,0.052,0.111,0.252,0.015,0.297,0.03,0.037,0.186,0,0,0.007,0.007,0.007,0.067,0.096,0.022,0.015,0.119,0,0.067,0.03,0.401,0.037,0.26,0.156,0.015,0.074,0.045,0.015,0,0.059,0.134,0,0.876,0.141,0.052,0.022,0.074,0.03,0.015,0.03,0.007,0.045,0.015,0.03,0.208,1.469,0.089,0.007,0.007,0,0.126,0.445,0,0,0.007,0.03,0.015,0.037,0.186,0.045,0.111,0.089,0.037,0
dispt,dispt_fed_55.txt,0.349,0.036,0.007,0.029,0.335,0.058,0.087,0.073,0.116,0.378,0.044,0.007,0.102,0.058,0.015,0,0.007,0.087,0.116,0.08,0.015,0.036,0.044,0.007,0,0.029,0.189,0,0.167,0.102,0,0.08,0.08,0.044,0.007,0.022,0.102,0.007,0.902,0.051,0.073,0.007,0.153,0.051,0.007,0.007,0.051,0.007,0.015,0.109,0.233,1.259,0.109,0.015,0.036,0,0.08,0.56,0.007,0,0.015,0.029,0.015,0.007,0.211,0.022,0.145,0.073,0.073,0
dispt,dispt_fed_56.txt,0.414,0.083,0.009,0.018,0.478,0.046,0.11,0.074,0.037,0.331,0.046,0.055,0.092,0.037,0.028,0,0.018,0.064,0.055,0.083,0.009,0.037,0.074,0,0.018,0,0.267,0.037,0.083,0.165,0.046,0.092,0.064,0.018,0,0.018,0.101,0,1.029,0.083,0.046,0.046,0.037,0,0,0,0.018,0.028,0,0.055,0.165,1.176,0.083,0.009,0.028,0,0.11,0.34,0,0,0.018,0.009,0.009,0,0.175,0.018,0.267,0.129,0.037,0
dispt,dispt_fed_57.txt,0.248,0.04,0.007,0.04,0.356,0.034,0.154,0.161,0.047,0.289,0.027,0.027,0.168,0.047,0,0,0,0.081,0.127,0.074,0.007,0.02,0.074,0.034,0.02,0,0.248,0.013,0.208,0.134,0.02,0.027,0.06,0.027,0,0.02,0.094,0.007,1.02,0.127,0.06,0.02,0.154,0.007,0.02,0,0.04,0.027,0.013,0.067,0.208,1.423,0.154,0.007,0.02,0,0.067,0.49,0,0,0.027,0.007,0.02,0.02,0.201,0.04,0.154,0.027,0.04,0
dispt,dispt_fed_62.txt,0.442,0.062,0.006,0.075,0.423,0.037,0.093,0.1,0.031,0.379,0.025,0.037,0.174,0.056,0,0,0.006,0.05,0.1,0.124,0,0.019,0.044,0.025,0.05,0.025,0.274,0.037,0.23,0.131,0.019,0.106,0.081,0.068,0,0.044,0.106,0.012,0.902,0.118,0.031,0.012,0.081,0.025,0,0.012,0.05,0.025,0.031,0.044,0.218,1.089,0.081,0.012,0,0.012,0.093,0.498,0,0,0,0,0.025,0.012,0.199,0.031,0.106,0.081,0.031,0
